ticker
AAPL
MSFT
AMZN
NVDA
META
GOOGL
GOOG
BRK-B
LLY
UNH
JPM
XOM
V
PG
MA
AVGO
HD
CVX
COST
ABBV
MRK
PEP
KO
ADBE
NFLX
PFE
TMO
CRM
ABT
ACN
LIN
MCD
CSCO
DHR
AMD
WMT
INTU
COP
TXN
PM
AMAT
HON
CAT
GE
BA
IBM
VZ
LOW
MS
GS
RTX
NEE
LMT
SPGI
DE
NOW
INTC
QCOM
ISRG
BKNG
SYK
PLD
AMT
BLK
MDT
TJX
ADP
AXP
CI
MO
CB
ZTS
BDX
MMC
C
ELV
REGN
T
SO
PNC
USB
DUK
GM
CVS
NSC
ICE
APD
CL
EMR
SHW
EQIX
EW
FDX
EOG
GD
HCA
D
NKE
CME
ITW
ADSK
PSX
AON
PSA
AIG
ORLY
ROP
WM
PGR
ETN
FISV
MU
KDP
MNST
MAR
SBUX
TRV
MPC
HUM
DELL
BK
TGT
GWW
EXC
LRCX
TT
CARR
HLT
PAYX
F
MCK
AEP
PH
PRU
VLO
KMB
ALL
LHX
AFL
OXY
MSCI
AJG
SPG
CMI
AMP
PCAR
CTAS
GDOT
A
CTSH
IDXX
VICI
DD
DG
YUM
WMB
PSX
OTIS
DLR
ROST
FAST
ED
GPN
MCHP
VRSK
HES
MLM
FITB
NEM
OKE
RSG
EFX
URI
NOC
KEYS
CMG
KMI
TEL
WELL
KR
CPRT
WBD
HAL
DFS
TDG
SWK
LEN
PWR
MTD
ECL
XYL
VTR
ZBH
ALB
MTB
AMPH
AME
EBAY
PPG
ROK
AEE
STZ
AWK
EXR
PCG
FTNT
PEG
AVB
RCL
GLW
DTE
CBRE
WEC
PAYC
CLX
CEG
WTW
EIX
IT
TSCO
HIG
VMC
ODFL
IR
CMS
HBAN
BALL
COF
CDNS
RJF
A
LVS
MKC
CHD
HSY
CTRA
ETR
NUE
XYL
WAB
FLT
TSN
SRE
EXPD
K
BBY
DRI
DVN
ARE
TRGP
AAL
FTV
ZBRA
NVR
MTCH
CNP
AES
LYB
PTC
CINF
OMC
BKR
BAX
HOLX
APTV
FANG
LUV
CF
IFF
HPE
MOS
LDOS
IRM
KHC
VTRS
GEN
JKHY
NTRS
PHM
NI
APA
WRB
EQT
KEY
HES
TROW
BEN
PNR
GL
L
HAS
AOS
NRG
SEE
JNPR
CAG
LUMN
FOX
FOXA
HWM
NWSA
NWS
TECH
ALLE
AES
RHI
DOV
WHR
NDAQ
GRMN
FMC
CBOE
LKQ
INCY
AKAM
LW
HRL
MKTX
VFC
BIO
FDS
WRK
TAP
CCL
PARA
NCLH
QRVO
RL
GNRC
MRO
HII
NDSN
IP
IVZ
EMN
BBWI
PENN
TPR
PVH
ALGN
CZR
CPB
UHS
MHK
NWSA
NWS
